iter	Passed	Remaining
0	1	169
1	3	157
2	4	157
3	6	151
4	7	145
5	9	143
6	11	156
7	13	159
8	15	152
9	16	146
10	17	143
11	19	144
12	21	142
13	22	138
14	25	143
15	27	142
16	28	139
17	30	138
18	31	134
19	33	132
20	34	128
21	35	125
22	36	123
23	38	120
24	41	124
25	43	122
26	44	119
27	45	117
28	46	114
29	48	112
30	49	110
31	50	107
32	52	105
33	53	103
34	57	106
35	58	104
36	59	102
37	61	99
38	62	97
39	63	95
40	64	93
41	66	91
42	67	89
43	68	86
44	71	86
45	72	85
46	74	84
47	76	82
48	77	80
49	78	78
50	80	77
51	81	75
52	84	74
53	86	73
54	88	72
55	90	70
56	91	69
57	93	67
58	94	65
59	95	63
60	96	61
61	98	60
62	104	61
63	106	59
64	107	57
65	108	55
66	109	53
67	111	52
68	112	50
69	113	48
70	116	47
71	117	45
72	118	43
73	120	42
74	121	40
75	122	38
76	123	36
77	124	35
78	125	33
79	126	31
80	127	30
81	132	29
82	133	27
83	134	25
84	135	23
85	136	22
86	138	20
87	139	19
88	140	17
89	141	15
90	142	14
91	143	12
92	148	11
93	150	9
94	151	7
95	152	6
96	153	4
97	154	3
98	156	1
99	157	0
